region,lat,lon,node_id
BPAT,45.677962136666174,-121.85307959404217,CASCL_BP_LNODEMID
SRP,33.354889,-111.59744766,CASEY_SR_LNODELD1
SRP,33.35488899995387,-111.59733967372493,CASEY_SR_LNODELD2
SRP,33.4362908207715,-112.28486666,CASHI_SR_LNODELD1
SRP,33.43621008960176,-112.28481014599582,CASHI_SR_LNODELD4
SRP,33.43621008960176,-112.28492185400418,CASHI_SR_LNODELD5
TIDC,37.36195490350885,-120.56264978595905,CASTLE_LNODEDR1
TIDC,37.36187666885442,-120.56259295698037,CASTLE_LNODEDR2
TIDC,37.36179843428164,-120.56264978607754,CASTLE_LNODEDR3
TIDC,37.36179843428164,-120.56276344403507,CASTLE_LNODEDR4
TIDC,37.36187666885442,-120.56282027313236,CASTLE_LNODEDR5
TIDC,37.36195490350885,-120.56276344415356,CASTLE_LNODEDR6
CA,37.69127699998625,-122.06100285669103,CASTROVL_2_N001
CA,37.69127699998625,-122.06111714330899,CASTROVL_2_N003
CA,36.76278384840137,-121.73625384648868,CASTROVL_2_N006
LADWP,34.587237,-118.65663866,CAS_LA_LNODESMW
PSE,47.202222,-120.96916766,CAS_LNODEXF1
LADWP,34.587236999950775,-118.65652814911085,CAS_PP_GNODE1
LADWP,34.587146563795926,-118.65652814923041,CAS_PP_GNODE2
LADWP,34.58708261582251,-118.65660582547926,CAS_PP_GNODE3
LADWP,34.58706732287038,-118.65671409414223,CAS_PP_GNODE4
LADWP,34.58709864556691,-118.65681714559959,CAS_PP_GNODE5
LADWP,34.58716460235568,-118.65689230262744,CAS_PP_GNODE6
LADWP,34.58725007235644,-118.65692820407466,CAS_PP_GNODE7
LADWP,34.58734037344726,-118.65692220263388,CAS_PP_LNODE1AUX
LADWP,34.58742309555189,-118.65687780855164,CAS_PP_LNODE2AUX
LADWP,34.587488904018386,-118.65680245963807,CAS_PP_LNODE3AUX
LADWP,34.58753171916694,-118.65670569917607,CAS_PP_LNODE4AUX
LADWP,34.58754852361777,-118.65659776098718,CAS_PP_LNODE5AUX
LADWP,34.58753896054594,-118.65648852558516,CAS_PP_LNODE6AUX
CA,34.94,-118.3566,CATALGEN_7_N001
CA,37.33647699998642,-121.87909619952336,CATALYST_7_N001
CA,37.33647699998642,-121.87920980047664,CATALYST_7_N002
BPAT,46.195702,-123.37119266,CATHL_BP_LNODE115
CA,38.808811,-121.51611566,CATLETT_6_N001
CA,35.342221,-119.91325566,CAVLSRGN_7_B1
CA,35.57097799998741,-119.11546380934058,CAWELOB_6_N001
CA,35.57097799998741,-119.11557419065943,CAWELOC_1_N001
IPCO,42.878333,-115.01638966,CAWP_GNODEAWP
CA,35.44865399998744,-120.87030582923836,CAYUCOS_6_N001
CA,35.44865399998744,-120.87041617076177,CAYUCOS_6_N006
APS,33.82851002054219,-111.94777666,CA_LNODE10A
APS,33.82842898971615,-111.9477196828074,CA_LNODE14A
APS,33.82842898971615,-111.94783231719262,CA_LNODER2A
NWMT,45.773011,-111.50425666,CBLSTN_T_LNODEOAD
APS,33.511889,-111.91778166,CB_LNODE10A
APS,33.51188899995347,-111.91767334705149,CB_LNODE12A
APS,33.51179924201718,-111.91767334716317,CB_LNODE14A
APS,33.51173577361437,-111.91774946923725,CB_LNODE18A
APS,33.51172059535138,-111.91785557162724,CB_LNODE21A
APS,33.51175168315085,-111.91795656119629,CB_LNODE22A
APS,33.51181714530824,-111.91803021444866,CB_LNODE24A
APS,33.511901974337285,-111.91806539755244,CB_LNODE25A
APS,33.51199159822178,-111.91805951617738,CB_LNODE26A
APS,33.51207369995424,-111.91801601034136,CB_LNODER9A
CA,37.99874721472367,-121.78331466,CCOS6_7_B1
CA,37.998665892623194,-121.7832544189935,CCOS7_7_B1
CA,37.998665892623194,-121.78337358100657,CCOSTA_2_N001
PGE,45.3414,-122.780866,CCRK_LNODEWR1
APS,33.144785,-112.6763666,CCR_7_CSS_BESSGNODE
APS,33.14478499995434,-112.67625304471528,CCR_7_PAL_BESSGNODE
APS,33.043359533181395,-112.66613619134503,CCR_GNODECCS
APS,33.04318046672752,-112.66613619156216,CCR_GNODEPAL
APS,33.04318046672752,-112.66634980843784,CCR_LNODE14A
APS,33.043359533181395,-112.66634980865497,CCR_LNODER2A
CA,38.03,-121.7566,CCSUB_1_N001
CA,38.01999999998606,-121.75994265860079,CCSUB_2_N001
CA,38.01999999998606,-121.76005734139926,CCSUB_2_N010
CA,38.000648,-121.7507766,CCSUB_6_N024
APS,33.475287,-112.06628466,CC_LNODE10A
APS,33.47528699995358,-112.06617642628053,CC_LNODE11A
APS,33.475197270153075,-112.06617642639196,CC_LNODE13A
APS,33.47513382164514,-112.06625249244274,CC_LNODE14A
APS,33.47511864814004,-112.06635851674524,CC_LNODE17A
APS,33.47514972619476,-112.06645943198947,CC_LNODE18A
APS,33.475215167832474,-112.06653303103532,CC_LNODE19A
APS,33.475299970270996,-112.06656818824507,CC_LNODE21A
APS,33.475389566061665,-112.06656231119801,CC_LNODE22A
APS,33.475471642058174,-112.06651883738054,CC_LNODE25A
APS,33.475536936519646,-112.06644505042486,CC_LNODE26A
APS,33.475579417254735,-112.06635029578494,CC_LNODE27A
APS,33.475596090453315,-112.06624459513472,CC_LNODE29A
APS,33.47558660207828,-112.06613762416215,CC_LNODE30A
APS,33.47555273881974,-112.06603800478197,CC_LNODER9A
AVA,47.69099999998053,-116.76553301800017,CDALENE_1_1LNODE
AVA,47.69099999998053,-116.76566698199984,CDALENE_1_2LNODE
IPCO,43.605551999983064,-116.335117637452,CDAL_LNODE133
IPCO,43.605551999983064,-116.33524236254803,CDAL_LNODE134
IPCO,44.52520499998252,-116.04857974473357,CDPO_GNODE001
IPCO,44.52520499998252,-116.04870625526645,CDPO_GNODE002
